brand,series,model,year,col,size,cpu,gen,ram,slots,max,sold,w11,tag,st_25sata,st_msata,st_m2sata,st_m2nvme,st_ide,st_emmc,st_m2len,st_note,price,price_note,os,note,aliases,pwr,bat,bat_note
thinkpad,T,T480 / T480s / T580,2018,,14/15.6″,"Intel 8th gen (Kaby Lake R, quad)",ddr4,DDR4-2400 (480s: 8/16 soldered + 1 slot),2× SODIMM (480s hybrid),32 GB (480s 24–48),,1,SATA/NVMe,2,,,1,,,,2.5″ bay on T480 only,$130–280,"Real eBay sold IQR, Jul 2026 (n=18, median $180) (T480 base sampled; s/p/15″ variants vary). The default used ThinkPad — huge supply; config and battery health set the price.",,T480 is the last T-series with a removable battery + 2.5″ bay + 2 SODIMM — a resale favorite. A485 (2018) = AMD Ryzen PRO 2000 twin.,A485,"USB-C PD · 65W|>Any solid-brand PD charger works — OEM ~$10–20 used, Anker-class 3rd party equally fine. 16″ H-series configs like 100W+ bricks. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",bridge (int + hot-swap ext),"LAST Power Bridge gen — search 01AV427 (61+ 48Wh)|>T480/T580: int 24Wh + ext 61-family, hot-swappable. T480s: internal 57Wh only. After this gen everything went internal — one reason T480s stay in demand. <span style=color:#e5b567>⚠</span> $20–35 genuine OEM listings are near-universally FAKE cells in lookalike wrappers. Reality: decent aftermarket starts ~$50–70; genuine new ~$100+ where still manufactured; a used REAL OEM pull is often the best value — check cycle count / wear level on arrival."
thinkpad,T,T490 / T490s / T495 / T590,2019,,14/15.6″,Intel 8th/10th gen / Ryzen (T495),ddr4,DDR4-2666 (490s/495: partly soldered),2× SODIMM (s: hybrid),32 GB (490s 16–32),,1,NVMe,,,,1,,,,no 2.5″ bay,$110–182,"Real eBay sold IQR, Jul 2026 (n=28, median $125) (T490 base sampled; s/p/15″ variants vary). The default used ThinkPad — huge supply; config and battery health set the price.",,,,"USB-C PD · 65W|>Any solid-brand PD charger works — OEM ~$10–20 used, Anker-class 3rd party equally fine. 16″ H-series configs like 100W+ bricks. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",internal,"Internal, bottom-cover-off swap. Search ""T490 battery"".|>Modern sealed ThinkPad — 10-minute swap once the base is off. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
thinkpad,T,T14 Gen 1 / T14s Gen 1 / T15,2020,,14/15.6″,Intel 10th gen / Ryzen 4000,ddr4,DDR4-3200 (T14s: LPDDR4x soldered),2× SODIMM (T14s soldered),48 GB (T14s 32 soldered),0,1,NVMe,,,,1,,,,,$102–238,"Est. cross-checked vs small eBay sold sample, Jul 2026 (n=4, median $210). The default used ThinkPad — huge supply; config and battery health set the price.",,,,"USB-C PD · 65W|>Any solid-brand PD charger works — OEM ~$10–20 used, Anker-class 3rd party equally fine. 16″ H-series configs like 100W+ bricks. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",internal,"Internal, bottom-cover-off swap. Search ""T14 battery"".|>Modern sealed ThinkPad — 10-minute swap once the base is off. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
thinkpad,T,T14 Gen 2 / T14s Gen 2 / T15 Gen 2,2021,,14/15.6″,Intel 11th gen / Ryzen 5000,ddr4,DDR4-3200 (T14s: LPDDR4x soldered),2× SODIMM (T14s soldered),48 GB (T14s 32 soldered),,1,NVMe,,,,1,,,,,$196–310,"Real eBay sold IQR, Jul 2026 (n=8, median $230). The default used ThinkPad — huge supply; config and battery health set the price.",,,,"USB-C PD · 65W|>Any solid-brand PD charger works — OEM ~$10–20 used, Anker-class 3rd party equally fine. 16″ H-series configs like 100W+ bricks. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",internal,"Internal, bottom-cover-off swap. Search ""T14 battery"".|>Modern sealed ThinkPad — 10-minute swap once the base is off. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
thinkpad,T,T14 Gen 3 / T14s Gen 3 / T15 Gen 3 / T16 Gen 1,2022,,14/16″,Intel 12th gen / Ryzen 6000,ddr5,DDR5-4800 (T14s: LPDDR5 soldered),2× SODIMM (T14s soldered),48 GB (T14s 32 soldered),,1,NVMe,,,,1,,,,,$334–592,"Est. cross-checked vs small eBay sold sample, Jul 2026 (n=7, median $350). The default used ThinkPad — huge supply; config and battery health set the price.",,,,"USB-C PD · 65W|>Any solid-brand PD charger works — OEM ~$10–20 used, Anker-class 3rd party equally fine. 16″ H-series configs like 100W+ bricks. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",internal,"Internal, bottom-cover-off swap. Search ""T14 battery"".|>Modern sealed ThinkPad — 10-minute swap once the base is off. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
thinkpad,T,T14 Gen 4 / T14s Gen 4 / T16 Gen 2,2023,,14/16″,Intel 13th gen / Ryzen 7040,ddr5,Intel: DDR5-5200 (part soldered) · AMD & T14s: LPDDR5x soldered,"Intel: 8/16 GB soldered + 1× SODIMM · AMD: soldered, NO slots",Intel 48 GB · AMD/T14s 32 GB (forever),0,1,NVMe,,,,1,,,,PCIe Gen 4,$459–540,"Est. cross-checked vs small eBay sold sample, Jul 2026 (n=6, median $459). The default used ThinkPad — huge supply; config and battery health set the price.",,"⚠ Gen 4 memory trap: Intel = 8/16 GB soldered + 1 real SO-DIMM slot (max 48); AMD (Ryzen 7040) = fully soldered LPDDR5x, NO slots, max 32. Check CPU before buying! Gen 5 went back to 2 real slots.",,"USB-C PD · 65W|>Any solid-brand PD charger works — OEM ~$10–20 used, Anker-class 3rd party equally fine. 16″ H-series configs like 100W+ bricks. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",internal,"Internal, bottom-cover-off swap. Search ""T14 battery"".|>Modern sealed ThinkPad — 10-minute swap once the base is off. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
thinkpad,T,T14 Gen 5 / T14s Gen 5 / T16 Gen 3,2024,,14/16″,Intel Core Ultra / Ryzen 8040,ddr5,DDR5-5600 SODIMM (T14s: LPDDR5x soldered),2× SODIMM (T14s soldered),64 GB (T14s 32 soldered),,1,NVMe,,,,1,,,,PCIe Gen 4,$360–520,Est. (calibrated to Jul 2026 sold data). The default used ThinkPad — huge supply; config and battery health set the price.,,T14 Gen 5 returns to 2 real SO-DIMM slots (up to 64 GB). T14s Gen 5 is soldered LPDDR5x.,,"USB-C PD · 65W|>Any solid-brand PD charger works — OEM ~$10–20 used, Anker-class 3rd party equally fine. 16″ H-series configs like 100W+ bricks. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",internal,"Internal, bottom-cover-off swap. Search ""T14 battery"".|>Modern sealed ThinkPad — 10-minute swap once the base is off. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
thinkpad,X,X31,2003,,12.1″,Pentium M (Banias),ddr1,DDR-266 SODIMM,2× SODIMM,2 GB,,,IDE,,,,,1,,,,$30–60,Est. (calibrated to Jul 2026 sold data). Compact travel favorites — clean examples command a premium. ⬆ Vintage market trends UP — clean/complete examples can sell well ABOVE this range.,,,,"16V barrel · 72W|>Old 16V family (search ""IBM ThinkPad 16V 4.5A adapter"", FRU 02K6753). <span style=""color:#e5b567"">⚠</span> 16V machine! Do NOT use 20V bricks or USB-C→DC dongle adapters (they always output 20V) — the plug may fit, the voltage doesn't. 💡 Used OEM bricks are $10–20 shipped on eBay — and OEM-only territory here.",removable,"Removable Li-ion (IBM-era). Search ""X31 battery FRU"" — cells almost always need rebuilding at this age; runtime is a bonus, not expected.|>Genuine new packs long discontinued; aftermarket cells are hit-or-miss. Buy for completeness, not runtime."
thinkpad,X,X40,2004,,12.1″,Pentium M (Dothan) ULV,ddr1,DDR-333 (256 MB onboard + 1 slot),onboard + 1× SODIMM,1.5 GB,1,,1.8″ IDE,,,,,1,,,1.8″ drive — slow,$30–60,Est. (calibrated to Jul 2026 sold data). Compact travel favorites — clean examples command a premium. ⬆ Vintage market trends UP — clean/complete examples can sell well ABOVE this range.,,,,"16V barrel · 72W|>Old 16V family (search ""IBM ThinkPad 16V 4.5A adapter"", FRU 02K6753). <span style=""color:#e5b567"">⚠</span> 16V machine! Do NOT use 20V bricks or USB-C→DC dongle adapters (they always output 20V) — the plug may fit, the voltage doesn't. 💡 Used OEM bricks are $10–20 shipped on eBay — and OEM-only territory here.",removable,"Removable Li-ion (IBM-era). Search ""X40 battery FRU"" — cells almost always need rebuilding at this age; runtime is a bonus, not expected.|>Genuine new packs long discontinued; aftermarket cells are hit-or-miss. Buy for completeness, not runtime."
thinkpad,X,X60 / X60s,2006,,12.1″,Core / Core 2 Duo,ddr2,DDR2-667 SODIMM,2× SODIMM,4 GB (~3.3 usable),,,SATA,1,,,,,,,1.8″ drive on the s variant,$30–60,Est. (calibrated to Jul 2026 sold data). Compact travel favorites — clean examples command a premium. ⬆ Vintage market trends UP — clean/complete examples can sell well ABOVE this range.,,,,"7.9mm round tip (yellow) · 65–90W|>20V family, 2005–2012 — any wattage fits any model (higher is fine). Search ""Lenovo 20V round tip 65W"" / 90W. 💡 Used OEM bricks are $10–20 shipped on eBay — same as 3rd-party, buy OEM. USB-C→round-tip dongles exist but quality is hit-or-miss.",removable,"Removable 6-cell (2006–07). Search ""X60 6-cell battery"".|>9-cell high-capacity packs stick out the back — big runtime if cells are healthy. <span style=""color:#e5b567"">⚠</span> $20–35 ""genuine OEM"" listings are near-universally FAKE cells in lookalike wrappers. Real aftermarket ~$50–70+, genuine new ~$100+ where still made; a used REAL OEM pull is often best value — check cycle count / wear on arrival."
